cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinforma_Chem/PMC3169933.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinforma_Chem/PMC3169936.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinforma_Chem/PMC3169945.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinform_Chem/PMC3810201.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinform_Chem/PMC5391158.nxml , skipping..
publication | /u/scratch/n/nikodm/pmcOA/Adv_Bioinformatics/PMC2775695.nxml
given-names | Jake Y.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5751770.nxml
surname | Xing
given-names | Yuting
surname | Li
given-names | Gen
surname | Wang
given-names | Zhenguo
surname | Feng
given-names | Bolun
surname | Song
given-names | Zhuo
surname | Wu
given-names | Chengkun
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5751793.nxml
surname | Liu
given-names | Keqin
surname | He
given-names | Li
surname | Liu
given-names | Zhichao
surname | Xu
given-names | Junmei
surname | Liu
given-names | Yuan
surname | Kuang
given-names | Qifan
surname | Wen
given-names | Zhining
surname | Li
given-names | Menglong
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5751802.nxml
surname | Boluki
given-names | Shahin
surname | Esfahani
given-names | Mohammad Shahrokh
surname | Qian
given-names | Xiaoning
surname | Dougherty
given-names | Edward R
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5751806.nxml
surname | Giles
given-names | Cory B.
surname | Brown
given-names | Chase A.
surname | Ripperger
given-names | Michael
surname | Dennis
given-names | Zane
surname | Roopnarinesingh
given-names | Xiavan
surname | Porter
given-names | Hunter
surname | Perz
given-names | Aleksandra
surname | Wren
given-names | Jonathan D.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5756333.nxml
surname | Zhu
given-names | Qin
surname | Fisher
given-names | Stephen A.
surname | Dueck
given-names | Hannah
surname | Middleton
given-names | Sarah
surname | Khaladkar
given-names | Mugdha
surname | Kim
given-names | Junhyong
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5759208.nxml
surname | Wang
given-names | Min
surname | Abrams
given-names | Zachary B.
surname | Kornblau
given-names | Steven M.
surname | Coombes
given-names | Kevin R.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5778658.nxml
surname | Tsagris
given-names | Michail
surname | Lagani
given-names | Vincenzo
surname | Tsamardinos
given-names | Ioannis
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5782397.nxml
surname | Hu
given-names | Chenyue W.
surname | Li
given-names | Hanyang
surname | Qutub
given-names | Amina A.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5793408.nxml
surname | Sendorek
given-names | Dorota H.
surname | Caloian
given-names | Cristian
surname | Ellrott
given-names | Kyle
surname | Bare
given-names | J. Christopher
surname | Yamaguchi
given-names | Takafumi N.
surname | Ewing
given-names | Adam D.
surname | Houlahan
given-names | Kathleen E.
surname | Norman
given-names | Thea C.
surname | Margolin
given-names | Adam A.
surname | Stuart
given-names | Joshua M.
surname | Boutros
given-names | Paul C.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5800085.nxml
surname | Condon
given-names | David E.
surname | Tran
given-names | Phu V.
surname | Lien
given-names | Yu-Chin
surname | Schug
given-names | Jonathan
surname | Georgieff
given-names | Michael K.
surname | Simmons
given-names | Rebecca A.
surname | Won
given-names | Kyoung-Jae
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5807796.nxml
surname | Wang
given-names | Jeremy R.
surname | Holt
given-names | James
surname | McMillan
given-names | Leonard
surname | Jones
given-names | Corbin D.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5813365.nxml
surname | Rahman
given-names | Raza-Ur
surname | Gautam
given-names | Abhivyakti
surname | Bethune
given-names | Jörn
surname | Sattar
given-names | Abdul
surname | Fiosins
given-names | Maksims
surname | Magruder
given-names | Daniel Sumner
surname | Capece
given-names | Vincenzo
surname | Shomroni
given-names | Orr
surname | Bonn
given-names | Stefan
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5817627.nxml
surname | Gaspar
given-names | John M.
surname | Hart
given-names | Ronald P.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5819234.nxml
surname | Russo
given-names | Pedro S. T.
surname | Ferreira
given-names | Gustavo R.
surname | Cardozo
given-names | Lucas E.
surname | Bürger
given-names | Matheus C.
surname | Arias-Carrasco
given-names | Raul
surname | Maruyama
given-names | Sandra R.
surname | Hirata
given-names | Thiago D. C.
surname | Lima
given-names | Diógenes S.
surname | Passos
given-names | Fernando M.
surname | Fukutani
given-names | Kiyoshi F.
surname | Lever
given-names | Melissa
surname | Silva
given-names | João S.
surname | Maracaja-Coutinho
given-names | Vinicius
surname | Nakaya
given-names | Helder I.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5828328.nxml
surname | Yi
given-names | Faliu
surname | Yang
given-names | Lin
surname | Wang
given-names | Shidan
surname | Guo
given-names | Lei
surname | Huang
given-names | Chenglong
surname | Xie
given-names | Yang
surname | Xiao
given-names | Guanghua
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5836821.nxml
surname | Kim
given-names | Inyoung
surname | Choi
given-names | Saemi
surname | Kim
given-names | Sun
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5838881.nxml
surname | Siddiqui
given-names | Jalal K.
surname | Baskin
given-names | Elizabeth
surname | Liu
given-names | Mingrui
surname | Cantemir-Stone
given-names | Carmen Z.
surname | Zhang
given-names | Bofei
surname | Bonneville
given-names | Russell
surname | McElroy
given-names | Joseph P.
surname | Coombes
given-names | Kevin R.
surname | Mathé
given-names | Ewy A.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5842653.nxml
surname | Jenkinson
given-names | Garrett
surname | Abante
given-names | Jordi
surname | Feinberg
given-names | Andrew P.
surname | Goutsias
given-names | John
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5845327.nxml
surname | Li
given-names | Gen
surname | Jima
given-names | Dereje
surname | Wright
given-names | Fred A.
surname | Nobel
given-names | Andrew B.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5845352.nxml
surname | Zhang
given-names | Haowen
surname | Chan
given-names | Yuandong
surname | Fan
given-names | Kaichao
surname | Schmidt
given-names | Bertil
surname | Liu
given-names | Weiguo
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5850943.nxml
surname | Giordano
given-names | Maurizio
surname | Tripathi
given-names | Kumar Parijat
surname | Guarracino
given-names | Mario Rosario
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5870402.nxml
surname | Van Deun
given-names | Katrijn
surname | Crompvoets
given-names | Elise A. V.
surname | Ceulemans
given-names | Eva
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5872490.nxml
surname | Katiyar
given-names | Ashish
surname | Mohanty
given-names | Anwoy
surname | Hua
given-names | Jianping
surname | Chao
given-names | Sima
surname | Lopes
given-names | Rosana
surname | Datta
given-names | Aniruddha
surname | Bittner
given-names | Michael L.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5872517.nxml
surname | Ni
given-names | Yang
surname | Müller
given-names | Peter
surname | Wei
given-names | Lin
surname | Ji
given-names | Yuan
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5872518.nxml
surname | Yoon
given-names | Byung-Jun
surname | Qian
given-names | Xiaoning
surname | Kahveci
given-names | Tamer
surname | Pal
given-names | Ranadip
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5872553.nxml
surname | Foroughi pour
given-names | Ali
surname | Dalton
given-names | Lori A.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5896110.nxml
surname | Oghabian
given-names | Ali
surname | Greco
given-names | Dario
surname | Frilander
given-names | Mikko J.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5896118.nxml
surname | Thorne
given-names | Thomas
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5896135.nxml
surname | Girimurugan
given-names | Senthil B.
surname | Liu
given-names | Yuhang
surname | Lung
given-names | Pei-Yau
surname | Vera
given-names | Daniel L.
surname | Dennis
given-names | Jonathan H.
surname | Bass
given-names | Hank W.
surname | Zhang
given-names | Jinfeng
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5897949.nxml
surname | Cornwell
given-names | MacIntosh
surname | Vangala
given-names | Mahesh
surname | Taing
given-names | Len
surname | Herbert
given-names | Zachary
surname | Köster
given-names | Johannes
surname | Li
given-names | Bo
surname | Sun
given-names | Hanfei
surname | Li
given-names | Taiwen
surname | Zhang
given-names | Jian
surname | Qiu
given-names | Xintao
surname | Pun
given-names | Matthew
surname | Jeselsohn
given-names | Rinath
surname | Brown
given-names | Myles
surname | Liu
given-names | X. Shirley
surname | Long
given-names | Henry W.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5899412.nxml
surname | Modrák
given-names | Martin
surname | Vohradský
given-names | Jiří
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5907140.nxml
surname | Wang
given-names | Zhenxing
surname | Wu
given-names | XiaoLiang
surname | Wang
given-names | Yadong
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5907142.nxml
surname | Sun
given-names | Shiquan
surname | Sun
given-names | Xifang
surname | Zheng
given-names | Yan
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5907144.nxml
surname | Chu
given-names | Yanshuo
surname | Teng
given-names | Mingxiang
surname | Wang
given-names | Yadong
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5907304.nxml
surname | Guo
given-names | Yang
surname | Liu
given-names | Shuhui
surname | Li
given-names | Zhanhuai
surname | Shang
given-names | Xuequn
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5907363.nxml
surname | Maramis
given-names | Christos
surname | Gkoufas
given-names | Athanasios
surname | Vardi
given-names | Anna
surname | Stalika
given-names | Evangelia
surname | Stamatopoulos
given-names | Kostas
surname | Hatzidimitriou
given-names | Anastasia
surname | Maglaveras
given-names | Nicos
surname | Chouvarda
given-names | Ioanna
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5907718.nxml
surname | Li
given-names | Zhentang
surname | Wang
given-names | Yi
surname | Wang
given-names | Fei
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5909259.nxml
surname | Bertl
given-names | Johanna
surname | Guo
given-names | Qianyun
surname | Juul
given-names | Malene
surname | Besenbacher
given-names | Søren
surname | Nielsen
given-names | Morten Muhlig
surname | Hornshøj
given-names | Henrik
surname | Pedersen
given-names | Jakob Skou
surname | Hobolth
given-names | Asger
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5910555.nxml
surname | Ozer
given-names | Egon A.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5921751.nxml
surname | Krempel
given-names | Rasmus
surname | Kulkarni
given-names | Pranav
surname | Yim
given-names | Annie
surname | Lang
given-names | Ulrich
surname | Habermann
given-names | Bianca
surname | Frommolt
given-names | Peter
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5936001.nxml
surname | Lopes
given-names | Marta B.
surname | Veríssimo
given-names | André
surname | Carrasquinha
given-names | Eunice
surname | Casimiro
given-names | Sandra
surname | Beerenwinkel
given-names | Niko
surname | Vinga
given-names | Susana
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5960098.nxml
surname | Li
given-names | Xuan
surname | Fu
given-names | Yuejiao
surname | Wang
given-names | Xiaogang
surname | Qiu
given-names | Weiliang
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5966861.nxml
surname | Fang
given-names | Li
surname | Hu
given-names | Jiang
surname | Wang
given-names | Depeng
surname | Wang
given-names | Kai
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5970540.nxml
surname | Eason
given-names | Katherine
surname | Nyamundanda
given-names | Gift
surname | Sadanandam
given-names | Anguraj
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5975413.nxml
surname | Keilwagen
given-names | Jens
surname | Hartung
given-names | Frank
surname | Paulini
given-names | Michael
surname | Twardziok
given-names | Sven O.
surname | Grau
given-names | Jan
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5975448.nxml
surname | Wu
given-names | Yiming
surname | Liu
given-names | Yanan
surname | Wang
given-names | Yueming
surname | Shi
given-names | Yan
surname | Zhao
given-names | Xudong
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5975570.nxml
surname | Zhao
given-names | Shilin
surname | Li
given-names | Chung-I
surname | Guo
given-names | Yan
surname | Sheng
given-names | Quanhu
surname | Shyr
given-names | Yu
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5977474.nxml
surname | Segal
given-names | Mark R.
surname | Bengtsson
given-names | Henrik L.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5984344.nxml
surname | Li
given-names | Yifeng
surname | Shi
given-names | Wenqiang
surname | Wasserman
given-names | Wyeth W.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5989416.nxml
surname | Su
given-names | Lingtao
surname | Liu
given-names | Guixia
surname | Bai
given-names | Tian
surname | Meng
given-names | Xiangyu
surname | Ma
given-names | Qingshan
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5989443.nxml
surname | Xi
given-names | Jianing
surname | Wang
given-names | Minghui
surname | Li
given-names | Ao
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5994075.nxml
surname | Hadigol
given-names | Mohammad
surname | Khiabanian
given-names | Hossein
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5996513.nxml
surname | Furstenau
given-names | Tara N.
surname | Cocking
given-names | Jill H.
surname | Sahl
given-names | Jason W.
surname | Fofanov
given-names | Viacheslav Y.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5998758.nxml
surname | Jo
given-names | Yousang
surname | Kim
given-names | Sanghyeon
surname | Lee
given-names | Doheon
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5998888.nxml
surname | Taguchi
given-names | Y.-H.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC5998889.nxml
surname | Takenaka
given-names | Yoichi
surname | Mikami
given-names | Kazuma
surname | Seno
given-names | Shigeto
surname | Matsuda
given-names | Hideo
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6001047.nxml
surname | Díaz-Gay
given-names | Marcos
surname | Vila-Casadesús
given-names | Maria
surname | Franch-Expósito
given-names | Sebastià
surname | Hernández-Illán
given-names | Eva
surname | Lozano
given-names | Juan José
surname | Castellví-Bel
given-names | Sergi
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6019795.nxml
surname | Jambusaria
given-names | Ankit
surname | Klomp
given-names | Jeff
surname | Hong
given-names | Zhigang
surname | Rafii
given-names | Shahin
surname | Dai
given-names | Yang
surname | Malik
given-names | Asrar B.
surname | Rehman
given-names | Jalees
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6029352.nxml
surname | de Boer
given-names | Carl G.
surname | Regev
given-names | Aviv
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6043997.nxml
surname | Eguchi
given-names | Ryohei
surname | Karim
given-names | Mohammand Bozlul
surname | Hu
given-names | Pingzhao
surname | Sato
given-names | Tetsuo
surname | Ono
given-names | Naoaki
surname | Kanaya
given-names | Shigehiko
surname | Altaf-Ul-Amin
given-names | Md.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6044013.nxml
surname | Zhang
given-names | Yuqing
surname | Jenkins
given-names | David F.
surname | Manimaran
given-names | Solaiappan
surname | Johnson
given-names | W. Evan
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6047367.nxml
surname | Lee
given-names | Joon-Yong
surname | Fujimoto
given-names | Grant M.
surname | Wilson
given-names | Ryan
surname | Wiley
given-names | H. Steven
surname | Payne
given-names | Samuel H.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6048696.nxml
surname | Ganesamoorthy
given-names | Devika
surname | Cao
given-names | Minh Duc
surname | Duarte
given-names | Tania
surname | Chen
given-names | Wenhan
surname | Coin
given-names | Lachlan
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6048772.nxml
surname | Okamura
given-names | Yasunobu
surname | Kinoshita
given-names | Kengo
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6050683.nxml
surname | Baheti
given-names | Saurabh
surname | Tang
given-names | Xiaojia
surname | O’Brien
given-names | Daniel R.
surname | Chia
given-names | Nicholas
surname | Roberts
given-names | Lewis R.
surname | Nelson
given-names | Heidi
surname | Boughey
given-names | Judy C.
surname | Wang
given-names | Liewei
surname | Goetz
given-names | Matthew P.
surname | Kocher
given-names | Jean-Pierre A.
surname | Kalari
given-names | Krishna R.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6052550.nxml
surname | Kuśmirek
given-names | Wiktor
surname | Nowak
given-names | Robert
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6052553.nxml
surname | Quinn
given-names | Thomas P.
surname | Crowley
given-names | Tamsyn M.
surname | Richardson
given-names | Mark F.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6069750.nxml
surname | Saggese
given-names | Igor
surname | Bona
given-names | Elisa
surname | Conway
given-names | Max
surname | Favero
given-names | Francesco
surname | Ladetto
given-names | Marco
surname | Liò
given-names | Pietro
surname | Manzini
given-names | Giovanni
surname | Mignone
given-names | Flavio
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6069782.nxml
surname | Stansfield
given-names | John C.
surname | Cresswell
given-names | Kellen G.
surname | Vladimirov
given-names | Vladimir I.
surname | Dozmorov
given-names | Mikhail G.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6081825.nxml
surname | Khoshdeli
given-names | Mina
surname | Winkelmaier
given-names | Garrett
surname | Parvin
given-names | Bahram
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6083570.nxml
surname | Amaral
given-names | Maria Luisa
surname | Erikson
given-names | Galina A.
surname | Shokhirev
given-names | Maxim N.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6102811.nxml
surname | Francis
given-names | Felix
surname | Dumas
given-names | Michael D.
surname | Davis
given-names | Scott B.
surname | Wisser
given-names | Randall J.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6112139.nxml
surname | Lu
given-names | Yin
surname | Baras
given-names | Alexander S.
surname | Halushka
given-names | Marc K.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6116485.nxml
surname | Clausen
given-names | Philip T. L. C.
surname | Aarestrup
given-names | Frank M.
surname | Lund
given-names | Ole
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6122196.nxml
surname | Heydari
given-names | Mahdi
surname | Miclotte
given-names | Giles
surname | Van de Peer
given-names | Yves
surname | Fostier
given-names | Jan
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6127926.nxml
surname | Bazzoli
given-names | Caroline
surname | Lambert-Lacroix
given-names | Sophie
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6134797.nxml
surname | Klau
given-names | Simon
surname | Jurinovic
given-names | Vindi
surname | Hornung
given-names | Roman
surname | Herold
given-names | Tobias
surname | Boulesteix
given-names | Anne-Laure
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6142401.nxml
surname | Zhou
given-names | Weizhuang
surname | Altman
given-names | Russ B.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6148965.nxml
surname | Ma
given-names | Chenchen
surname | Ji
given-names | Tieming
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6150983.nxml
surname | Wang
given-names | Jie-Huei
surname | Chen
given-names | Yi-Hau
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6157051.nxml
surname | Cooper
given-names | Christopher I
surname | Yao
given-names | Delia
surname | Sendorek
given-names | Dorota H
surname | Yamaguchi
given-names | Takafumi N
surname | P’ng
given-names | Christine
surname | Houlahan
given-names | Kathleen E
surname | Caloian
given-names | Cristian
surname | Fraser
given-names | Michael
surname | Ellrott
given-names | Kyle
surname | Margolin
given-names | Adam A
surname | Bristow
given-names | Robert G
surname | Stuart
given-names | Joshua M
surname | Boutros
given-names | Paul C
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6172735.nxml
surname | Kluin
given-names | Roelof J. C.
surname | Kemper
given-names | Kristel
surname | Kuilman
given-names | Thomas
surname | de Ruiter
given-names | Julian R.
surname | Iyer
given-names | Vivek
surname | Forment
given-names | Josep V.
surname | Cornelissen-Steijger
given-names | Paulien
surname | de Rink
given-names | Iris
surname | ter Brugge
given-names | Petra
surname | Song
given-names | Ji-Ying
surname | Klarenbeek
given-names | Sjoerd
surname | McDermott
given-names | Ultan
surname | Jonkers
given-names | Jos
surname | Velds
given-names | Arno
surname | Adams
given-names | David J.
surname | Peeper
given-names | Daniel S.
surname | Krijgsman
given-names | Oscar
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6180484.nxml
surname | Vitkin
given-names | Edward
surname | Solomon
given-names | Oz
surname | Sultan
given-names | Sharon
surname | Yakhini
given-names | Zohar
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6180486.nxml
surname | Liu
given-names | Jie
surname | Liang
given-names | Gangning
surname | Siegmund
given-names | Kimberly D
surname | Lewinger
given-names | Juan Pablo
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6182872.nxml
surname | Deng
given-names | Lei
surname | Wang
given-names | Junqiang
surname | Xiao
given-names | Yun
surname | Wang
given-names | Zixiang
surname | Liu
given-names | Hui
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6186068.nxml
surname | Farré
given-names | Pau
surname | Heurteau
given-names | Alexandre
surname | Cuvier
given-names | Olivier
surname | Emberly
given-names | Eldon
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6191969.nxml
surname | Bonnici
given-names | Vincenzo
surname | Busato
given-names | Federico
surname | Aldegheri
given-names | Stefano
surname | Akhmedov
given-names | Murodzhon
surname | Cascione
given-names | Luciano
surname | Carmena
given-names | Alberto Arribas
surname | Bertoni
given-names | Francesco
surname | Bombieri
given-names | Nicola
surname | Kwee
given-names | Ivo
surname | Giugno
given-names | Rosalba
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6191971.nxml
surname | Weitschek
given-names | Emanuel
surname | Lauro
given-names | Silvia Di
surname | Cappelli
given-names | Eleonora
surname | Bertolazzi
given-names | Paola
surname | Felici
given-names | Giovanni
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6192113.nxml
surname | Bacher
given-names | Rhonda
surname | Leng
given-names | Ning
surname | Chu
given-names | Li-Fang
surname | Ni
given-names | Zijian
surname | Thomson
given-names | James A.
surname | Kendziorski
given-names | Christina
surname | Stewart
given-names | Ron
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6192323.nxml
surname | Kang
given-names | Yeeok
surname | Nam
given-names | Seong-Hyeuk
surname | Park
given-names | Kyung Sun
surname | Kim
given-names | Yoonjung
surname | Kim
given-names | Jong-Won
surname | Lee
given-names | Eunjung
surname | Ko
given-names | Jung Min
surname | Lee
given-names | Kyung-A
surname | Park
given-names | Inho
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6192342.nxml
surname | Pian
given-names | Cong
surname | Zhang
given-names | Guangle
surname | Wu
given-names | Sanling
surname | Li
given-names | Fei
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6196408.nxml
surname | Zare
given-names | Fatima
surname | Hosny
given-names | Abdelrahman
surname | Nabavi
given-names | Sheida
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6199797.nxml
surname | Hühne
given-names | Rolf
surname | Kessler
given-names | Viktor
surname | Fürstberger
given-names | Axel
surname | Kühlwein
given-names | Silke
surname | Platzer
given-names | Matthias
surname | Sühnel
given-names | Jürgen
surname | Lausser
given-names | Ludwig
surname | Kestler
given-names | Hans A.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6201546.nxml
surname | Gysi
given-names | Deisy Morselli
surname | Voigt
given-names | Andre
surname | Fragoso
given-names | Tiago de Miranda
surname | Almaas
given-names | Eivind
surname | Nowick
given-names | Katja
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6201593.nxml
surname | Lin
given-names | Shu-Ju
surname | Lu
given-names | Tzu-Pin
surname | Yu
given-names | Qi-You
surname | Hsiao
given-names | Chuhsing Kate
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6204047.nxml
surname | Jackman
given-names | Shaun D.
surname | Coombe
given-names | Lauren
surname | Chu
given-names | Justin
surname | Warren
given-names | Rene L.
surname | Vandervalk
given-names | Benjamin P.
surname | Yeo
given-names | Sarah
surname | Xue
given-names | Zhuyi
surname | Mohamadi
given-names | Hamid
surname | Bohlmann
given-names | Joerg
surname | Jones
given-names | Steven J.M.
surname | Birol
given-names | Inanc
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6206826.nxml
surname | Wang
given-names | Peizhuo
surname | Gao
given-names | Lin
surname | Hu
given-names | Yuxuan
surname | Li
given-names | Feng
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6211426.nxml
surname | Pereira
given-names | Guilherme S.
surname | Garcia
given-names | Antonio Augusto F.
surname | Margarido
given-names | Gabriel R. A.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6215618.nxml
surname | Kwak
given-names | Jaesik
surname | Park
given-names | Joonhong
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6215649.nxml
surname | Grzadkowski
given-names | Michal R.
surname | Sendorek
given-names | Dorota H.
surname | P’ng
given-names | Christine
surname | Huang
given-names | Vincent
surname | Boutros
given-names | Paul C.
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6215657.nxml
surname | Xie
given-names | Xin-Ping
surname | Xie
given-names | Yu-Feng
surname | Liu
given-names | Yi-Tong
surname | Wang
given-names | Hong-Qiang
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC6219008.nxml
surname | Foroutan
given-names | Momeneh
surname | Bhuva
